,tweetID,financeType,date,fullText,replyCount,likesCount,retweetCount,adjustedClose,volume,subjectivity,polarity,Sentiment
1822,1113178951403180032,doge,2019-04-02,Dogecoin value may vary,1080.0,20160,1959,33.75,11638000,0.0,0.0,Neutral
1823,1113178951403180032,doge,2019-04-02,Dogecoin value may vary,1080.0,20160,1959,57.175999,27394500,0.0,0.0,Neutral
1824,1113178951403180032,doge,2019-04-02,Dogecoin value may vary,1080.0,20160,1959,0.002795,60298362,0.0,0.0,Neutral
1825,1113173498384441344,doge,2019-04-02,Dogecoin rulz,1732.0,138893,16539,33.75,11638000,0.0,0.0,Neutral
1826,1113173498384441344,doge,2019-04-02,Dogecoin rulz,1732.0,138893,16539,57.175999,27394500,0.0,0.0,Neutral
1827,1113173498384441344,doge,2019-04-02,Dogecoin rulz,1732.0,138893,16539,0.002795,60298362,0.0,0.0,Neutral
1828,1113009339743100928,doge,2019-04-02,Dogecoin might be my fav cryptocurrency. It’s pretty cool.,558.0,9063,2428,33.75,11638000,0.825,0.3,Positive
1829,1113009339743100928,doge,2019-04-02,Dogecoin might be my fav cryptocurrency. It’s pretty cool.,558.0,9063,2428,57.175999,27394500,0.825,0.3,Positive
1830,1113009339743100928,doge,2019-04-02,Dogecoin might be my fav cryptocurrency. It’s pretty cool.,558.0,9063,2428,0.002795,60298362,0.825,0.3,Positive
2407,1254039929333649408,doge,2020-04-25,Dogecoin Mode,124.0,2192,207,0.002142,229810398,0.0,0.0,Neutral
2552,1284290215561986048,doge,2020-07-18,"Excuse me, I only sell Doge!",416.0,15930,775,0.003473,204080851,0.525,-0.025,Negative
2723,1328771222822400000,doge,2020-11-17,Dojo/Doge,81.0,1002,62,42.849998,11288800,0.0,0.0,Neutral
2724,1328771222822400000,doge,2020-11-17,Dojo/Doge,81.0,1002,62,441.609985,61188300,0.0,0.0,Neutral
2725,1328771222822400000,doge,2020-11-17,Dojo/Doge,81.0,1002,62,0.002936,46631464,0.0,0.0,Neutral
2746,1340590280848908288,doge,2020-12-20,One word: Doge,11227.0,224342,26570,0.004625,508066004,0.0,0.0,Neutral
2787,1357244295091208192,doge,2021-02-04,"No highs, no lows, only Doge",21310.0,744715,107141,849.98999,15812700,1.0,0.0,Neutral
2788,1357244295091208192,doge,2021-02-04,"No highs, no lows, only Doge",21310.0,744715,107141,56.509998,10999300,1.0,0.0,Neutral
2789,1357244295091208192,doge,2021-02-04,"No highs, no lows, only Doge",21310.0,744715,107141,0.053289,13040837601,1.0,0.0,Neutral
2790,1357241340313141248,doge,2021-02-04,Dogecoin is the people’s crypto,18465.0,533684,97994,849.98999,15812700,0.0,0.0,Neutral
2791,1357241340313141248,doge,2021-02-04,Dogecoin is the people’s crypto,18465.0,533684,97994,56.509998,10999300,0.0,0.0,Neutral
2792,1357241340313141248,doge,2021-02-04,Dogecoin is the people’s crypto,18465.0,533684,97994,0.053289,13040837601,0.0,0.0,Neutral
2793,1357231313376456704,doge,2021-02-04,Doge,8898.0,250972,42983,849.98999,15812700,0.0,0.0,Neutral
2794,1357231313376456704,doge,2021-02-04,Doge,8898.0,250972,42983,56.509998,10999300,0.0,0.0,Neutral
2795,1357231313376456704,doge,2021-02-04,Doge,8898.0,250972,42983,0.053289,13040837601,0.0,0.0,Neutral
