,tweetID,financeType,date,fullText,replyCount,likesCount,retweetCount,adjustedClose,volume,subjectivity,polarity,Sentiment
274,1113009339743100929,doge,2019-04-02,Dogecoin might be my fav cryptocurrency. It’s pretty cool.,558.0,9063,2428,0.002795,60298362.0,0.825,0.3,Positive
275,1113173498384441344,doge,2019-04-02,Dogecoin rulz,1732.0,138893,16539,0.002795,60298362.0,0.0,0.0,Neutral
276,1113178951403180032,doge,2019-04-02,Dogecoin value may vary,1080.0,20160,1959,0.002795,60298362.0,0.0,0.0,Neutral
520,1254039929333649409,doge,2020-04-25,Dogecoin Mode,124.0,2192,207,0.002142,229810398.0,0.0,0.0,Neutral
581,1284290215561986048,doge,2020-07-17,"Excuse me, I only sell Doge!",416.0,15930,775,0.003061,74705371.0,0.525,-0.025,Negative
654,1328771222822400001,doge,2020-11-17,Dojo/Doge,81.0,1002,62,0.002936,46631464.0,0.0,0.0,Neutral
663,1340590280848908288,doge,2020-12-20,One word: Doge,11227.0,224342,26570,0.004625,508066004.0,0.0,0.0,Neutral
684,1357231313376456708,doge,2021-02-04,Doge,8898.0,250972,42983,0.053289,13040837601.0,0.0,0.0,Neutral
685,1357241340313141249,doge,2021-02-04,Dogecoin is the people’s crypto,18465.0,533684,97994,0.053289,13040837601.0,0.0,0.0,Neutral
686,1357244295091208193,doge,2021-02-04,"No highs, no lows, only Doge",21310.0,744715,107141,0.053289,13040837601.0,1.0,0.0,Neutral
687,1357972904663687173,doge,2021-02-06,Dogecake,403.0,9304,1306,0.057595,5946101275.0,0.0,0.0,Neutral
689,1358542364948668418,doge,2021-02-07,?? Who let the Doge out ??,25822.0,758030,108137,0.078782,14261024073.0,0.0,0.0,Neutral
690,1358648653573992450,doge,2021-02-07,"Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault. Transaction speed of Doge should ideally be a few orders of magnitude faster.",1123.0,14932,3349,0.078782,14261024073.0,0.15000000000000002,-0.125,Negative
692,1359519541219500033,doge,2021-02-10,"Bought some Dogecoin for lil X, so he can be a toddler hodler",27411.0,528221,55822,0.072896,6785088422.0,0.0,0.0,Neutral
693,1359791422711492608,doge,2021-02-11,"Frodo was the underdoge, All thought he would fail, Himself most of all.",18772.0,239080,28834,0.069676,3818556739.0,0.39999999999999997,0.0,Neutral
695,1360007611781795840,doge,2021-02-11,Doge is underestimated,2092.0,28121,8340,0.069676,3818556739.0,0.0,0.0,Neutral
696,1361094185412100096,doge,2021-02-14,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo.",27269.0,318028,32898,0.062537,3984667628.0,0.5083333333333333,0.21875,Positive
697,1361096223428653056,doge,2021-02-14,An acceptable percentage. Doge is much more concentrated.,447.0,5789,692,0.062537,3984667628.0,0.5,0.5,Positive
701,1363046350900785156,doge,2021-02-20,I just set up some little Doge mining rigs with my kids. It was fun.,2877.0,53770,6424,0.054384,3175468554.0,0.35,0.056249999999999994,Positive
703,1363601164344823810,doge,2021-02-21,Dojo 4 Doge,18843.0,314642,31135,0.05598,2450293068.0,0.0,0.0,Neutral
707,1366477626429169666,doge,2021-03-01,Doge meme shield (legendary item),9010.0,274669,25458,0.050599,1494427207.0,1.0,1.0,Positive
709,1366668744748007425,doge,2021-03-02,2022: Dogecoin is dumb,891.0,15069,2357,0.050262,1346282318.0,0.5,-0.375,Negative
710,1366857632372256770,doge,2021-03-02,Very much so &amp; its leader shall be The Doge,702.0,15488,1551,0.050262,1346282318.0,0.26,0.26,Positive
715,1368058884837928970,doge,2021-03-05,Doge spelled backwards is Egod,19814.0,394402,36457,0.049609,1173113591.0,0.0,0.0,Neutral
719,1370882536101056523,doge,2021-03-13,Doge day afternoon,7048.0,169221,17791,0.062432,1869833076.0,0.0,0.0,Neutral
720,1370883943143251968,doge,2021-03-13,"Origin of Doge Day Afternoon: The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather.",2365.0,73979,7436,0.062432,1869833076.0,0.8500000000000001,0.25,Positive
721,1370885153262817283,doge,2021-03-13,"Why are you so dogematic, they ask",9040.0,236678,18228,0.062432,1869833076.0,0.0,0.0,Neutral
723,1371600053039722500,doge,2021-03-15,420M Doge,2406.0,77122,4804,0.057088,1738710876.0,0.0,0.0,Neutral
724,1372658385896738817,doge,2021-03-18,Sometimes it’s about Doge,1591.0,47500,3348,0.057383,909777445.0,0.0,0.0,Neutral
730,1377567762919292938,doge,2021-04-01,SpaceX is going to put a literal Dogecoin on the literal moon,24944.0,528403,50928,0.061986,5816046822.0,0.0,0.0,Neutral
737,1382551451185131522,doge,2021-04-14,Doge Barking at the Moon – Miro,846.0,20872,2529,0.121517,20977679327.0,0.0,0.0,Neutral
738,1382552587099062272,doge,2021-04-14,Doge Barking at the Moon,21818.0,323677,47685,0.121517,20977679327.0,0.0,0.0,Neutral
750,1387290679794089986,doge,2021-04-28,The Dogefather SNL May 8,36406.0,446797,74357,0.323682,14464343767.0,0.0,0.0,Neutral
752,1391523807148527620,doge,2021-05-09,SpaceX launching satellite Doge-1 to the moon next year – Mission paid for in Doge – 1st crypto in space – 1st meme in space To the mooooonnn!!,34932.0,526966,112129,0.57007,46138063928.0,0.0,0.0,Neutral
753,1392030108274159619,doge,2021-05-11,Do you want Tesla to accept Doge?,96563.0,392471,94898,0.495231,14566975476.0,0.0,0.0,Neutral
756,1392974251011895300,doge,2021-05-13,Working with Doge devs to improve system transaction efficiency. Potentially promising.,63615.0,534265,82255,0.490374,18663174069.0,0.5,0.2,Positive
757,1393738154889338884,doge,2021-05-15,"Ideally, Doge speeds up block time 10X, increases block size 10X &amp; drops fee 100X. Then it wins hands down.",10259.0,54636,13409,0.507972,9836892944.0,0.4962962962962963,0.3481481481481481,Positive
758,1393749019478970368,doge,2021-05-15,Only if Doge can’t do it. Big pain in the neck to create another one.,4841.0,23089,4135,0.507972,9836892944.0,0.55,0.0,Neutral
759,1393979913624072194,doge,2021-05-16,Obnoxious threads like this make me want to go all in on Doge,12957.0,81840,16052,0.514895,9541552064.0,0.0,0.0,Neutral
763,1395328697436033032,doge,2021-05-20,How much is that Doge in the window?,70818.0,302873,52441,0.400194,12415484460.0,0.2,0.2,Positive
764,1395437522306490371,doge,2021-05-20,A longtime Tesla supporter gave me the Doge dollar sticker at Giga Berlin,954.0,23338,2666,0.400194,12415484460.0,0.0,0.0,Neutral
766,1395438318095986693,doge,2021-05-20,"Yeah, I haven’t &amp; won’t sell any Doge",5080.0,51011,11955,0.400194,12415484460.0,0.0,0.0,Neutral
767,1396916392629137409,doge,2021-05-24,"If you’d like to help develop Doge, please submit ideas on GitHub &amp;",21482.0,188484,31784,0.366162,6821088755.0,0.0,0.0,Neutral
768,1396926365996261382,doge,2021-05-24,"Someone suggested changing Dogecoin fees based on phases of the moon, which is pretty awesome haha",8016.0,128451,11776,0.366162,6821088755.0,0.7666666666666666,0.48333333333333334,Positive
769,1397064185222078467,doge,2021-05-24,"Doge has dogs &amp; memes, whereas the others do not",5821.0,48797,7911,0.366162,6821088755.0,0.0,0.0,Neutral
770,1397285556954877953,doge,2021-05-25,"Please note Dogecoin has no formal organization &amp; no one reports to me, so my ability to take action is limited",3955.0,32637,4185,0.346302,5544552739.0,0.12142857142857143,0.01428571428571429,Positive
790,1410519466518233089,doge,2021-07-01,Release the Doge!,11161.0,128598,15910,0.244549,2463946548.0,0.0,0.0,Neutral
