Date,Tweet,likes_count,nlikes,nreplies,nretweets,replies_count,retweets_count
2011-12-31,Hacked my Tesla charge connector on a small island in the rain last night #whatcouldpossiblygowrong,,405.0,55.0,32.0,,
2012-01-11,"The exec conf room at Tesla used to be called Denali, but I decided to move a few letters around. Seemed more apt :)",,315.0,32.0,67.0,,
2012-01-13,"A Tesla Roadster just passed the 100,000 mile mark for the first time and still has over 200 miles of range.",,15.0,5.0,51.0,,
2012-01-17,That's not just paranoia (a healthy trait at times). Tesla really is under massive attack by short sellers,,16.0,23.0,14.0,,
2012-01-17,Will communicate better in the future. Too many people want us to fail and are willing to twist any bit of news against Tesla.,,163.0,44.0,43.0,,
2012-02-10,"Tesla Model X is 3rd most searched term on Google, right after purple squirrel. Damn you squirrel!",,286.0,40.0,139.0,,
2012-02-10,Tesla Model X video,,16.0,12.0,47.0,,
2012-03-07,The President of Serbia came by our booth at the Geneva Motor Show and talked about Nikola Tesla,,304.0,35.0,84.0,,
2012-04-05,"Wow, a Tesla owner in Europe just passed 200,000 km while racing his Roadster!",,93.0,13.0,57.0,,
2012-05-10,"Meant to say: prizes for first 10 who do 400 miles in Tesla w/o recharging, not nonstop, which would require diapers :)",,17.0,20.0,43.0,,
2012-05-22,Major Tesla milestone: All crash testing is complete for 5* (max) safety rating. Cars can now be built for sale to public!,,64.0,56.0,300.0,,
2012-07-01,"After 2008 meltdown, vacation for me just meant email with a view, but SpaceX &amp; Tesla are now strong enough that I can make it real (yay!!)",,65.0,68.0,65.0,,
2012-07-27,"Yes, my absolute goal w Tesla has always been mass market electric cars. Will finally get there with Gen3 program.",,17.0,5.0,11.0,,
2012-08-01,"Would love to make a Tesla supertruck with crazy torque, dynamic air suspension and corners like its on rails. That'd be sweet...",,6988.0,169.0,472.0,,
2012-08-22,I love the sight of Teslas in the morning. Production line review is looking good!,,221.0,74.0,294.0,,
2012-08-22,Glad to contribute to the Tesla museum and will do more in the future. He was a great man.,,91.0,17.0,156.0,,
2012-09-06,Tesla Model S driven 285 miles from Vegas to the beach in LA on a single charge by,,63.0,27.0,211.0,,
2012-09-14,Tesla Supercharger unveiling event set for Sept 24. It will feel like alien spaceships landed at highway rest stops.,,103.0,58.0,349.0,,
2012-09-17,Tesla made 100 vehicle bodies this week for the first time. Really proud of the team! Pic of S/N 396:,,141.0,94.0,285.0,,
2012-09-25,The Tesla Supercharger will over time allow you to travel anywhere on pure sunlight for free,,246.0,76.0,842.0,,
2012-10-04,An update about Tesla,,103.0,35.0,325.0,,
2012-10-22,Just wrote a blog piece about Tesla stores,,67.0,18.0,136.0,,
2012-10-28,V proud of Tesla team for completing 1000th Model S body. More cars made this month than entire rest of year,,314.0,85.0,340.0,,
2012-11-16,Sounds like Consumer Reports had a good experience with the Tesla Model S,,37.0,35.0,87.0,,
2012-11-20,"Mass. judge denies auto dealers' demand to kill our little Tesla store. Yay, justice prevails!",,85.0,43.0,170.0,,
2012-12-04,Am happy to report that Tesla was narrowly cash flow positive last week. Continued improvement expected through year end.,,358.0,129.0,691.0,,
