,Tweet_ID,Date,Tweet_Text,likes_count,retweet_counts
35,1.54634E+18,2022-07-11 04:04:00+00:00,https://t.co/JcLMee61wj,1063908,125723
78,1.54472E+18,2022-07-06 16:25:17+00:00,@AlexBerenson @Twitter Can you say more about this: â€œâ€¦ pressures that the government may have placed on Twitter â€¦â€,39322,4695
116,1.53929E+18,2022-06-21 16:58:57+00:00,@BloombergLive @Twitter The vote of confidence is much appreciated,41829,1817
146,1.53821E+18,2022-06-18 17:15:21+00:00,To answer the question: Why Twitter?,47584,2810
199,1.53753E+18,2022-06-16 20:08:50+00:00,@sourpatchlyds @Twitter Exactly,35426,1737
270,1.53656E+18,2022-06-14 03:45:21+00:00,@stillgray @libsoftiktok @Twitter A platform cannot be considered inclusive or fair if it is biased against half the country,62995,12259
271,1.53653E+18,2022-06-14 02:10:48+00:00,@libsoftiktok Why? @Twitter,90467,8559
273,1.53639E+18,2022-06-13 16:51:19+00:00,@lexfridman @Twitter ðŸ’¯,38147,1254
298,1.53576E+18,2022-06-11 23:00:37+00:00,@georgegalloway @Twitter I think itâ€™s kinda funny ðŸ¤£,21542,828
335,1.53512E+18,2022-06-10 04:43:56+00:00,@mn_google @georgegalloway @Twitter @verified Noooo!,2438,115
336,1.53512E+18,2022-06-10 04:41:12+00:00,@georgegalloway @Twitter @verified Ð¿Ñ€Ð¾ÑÑ‚Ð¸ Ñ‚Ð¾Ð²Ð°Ñ€Ð¸Ñ‰,8719,727
344,1.53494E+18,2022-06-09 16:43:39+00:00,"@TrungTPhan If the average length of a tweet (minus headers) is ~100 bytes of text, thatâ€™s only 50GB. You could fit it on a USB stick.",73305,2719
345,1.53494E+18,2022-06-09 16:38:50+00:00,@RobHerring @OANN Only Twitter,57460,2473
475,1.53164E+18,2022-05-31 14:15:34+00:00,"@Andst7 @PPathole @HamblinZeke @DrKnowItAll16 @stevenmarkryan @paraga Maybe if they do the opposite, Twitter will be a much better experience â€“ just an idea",3306,231
478,1.53163E+18,2022-05-31 13:45:11+00:00,"@PinballReed @crikey_news @ummjackson @cameronwilson My kids wrote better code when they were 12 than the nonsense script Jackson sent me. 

Like I said, if itâ€™s so great, he should share it with the world and make everyoneâ€™s experience with Twitter better. If he does, you will see what I mean.

Jackson Palmer is a tool.",7563,696
541,1.53067E+18,2022-05-28 21:56:44+00:00,"@ajtourville @Twitter Totally, these are very bot-friendly rules!",31571,1533
597,1.53E+18,2022-05-27 01:22:59+00:00,"Ya know, itâ€™s pretty damn great to be able to talk to people from all walks of life and many countries on Twitter!

So much to be learned, even from the harshest critics. 

Basically â€¦ Iâ€™m just saying I love all you crazy people â™¥ï¸â™¥ï¸",334472,22789
629,1.52987E+18,2022-05-26 17:02:12+00:00,(Of Twitter),83149,3292
640,1.52972E+18,2022-05-26 06:59:54+00:00,"@JaneidyEve @stevenmarkryan If I were to own Twitter, it would be geared towards the middle 80% of the population, so technically the far left and far right would probably be dissatisfied",12683,1230
643,1.52964E+18,2022-05-26 01:59:59+00:00,"@stevenmarkryan If Twitter was not truthful here, what else is not true? This is very concerning news.",12034,1347
701,1.52851E+18,2022-05-22 22:53:43+00:00,"@PPathole Haha I donâ€™t even have a burner twitter account! I do have a cheesy secret Instagram account, so I can click on links that friends send me.",73615,2951
713,1.52802E+18,2022-05-21 14:31:29+00:00,"@WholeMarsBlog Iâ€™m worried that Twitter has a disincentive to reduce spam, as it reduces perceived daily users",34639,2645
718,1.52791E+18,2022-05-21 07:14:19+00:00,"@JaneidyEve @TheCryptoDaddi @Block0nex @Jim_Jordan True, owning Twitter probably wonâ€™t increase my life expectancy haha",11014,896
725,1.52778E+18,2022-05-20 22:46:41+00:00,@d2dev_ @Andst7 @Twitter They will,7963,440
738,1.52774E+18,2022-05-20 20:06:18+00:00,@bpcostello @truth_tesla @veespike @HillaryClinton @Twitter !!,5120,554
739,1.52774E+18,2022-05-20 20:03:02+00:00,"@truth_tesla @veespike @HillaryClinton @Twitter Whether other senior campaign managers were aware or not is a separate question.

What is *not* in question is that Sussmann charged the Clinton Campaign for his Russia hoax meeting with the FBI.

Source document:
https://t.co/61C8L9isIU",6047,1660
743,1.52773E+18,2022-05-20 19:25:19+00:00,"@truth_tesla @veespike @HillaryClinton @Twitter ??

Sussmann himself admitted billing Clinton Campaign to pay for him to present Russia hoax to FBI! This is not even questioned by the defense.

Btw, I donated to &amp; voted for Hillary, so am doubly pissed off about those funds being used for lying.

https://t.co/PtFgYzpXQN",15311,4163
744,1.52772E+18,2022-05-20 18:52:57+00:00,@WhatsupFranks @veespike @HillaryClinton @Twitter Doesnâ€™t exactly scream â€œtrustworthyâ€,5698,438
745,1.52772E+18,2022-05-20 18:45:12+00:00,"@veespike @HillaryClinton @Twitter .@paraga and @vijaya, what say you?",16350,2642
746,1.52772E+18,2022-05-20 18:39:31+00:00,@veespike @HillaryClinton @Twitter You are absolutely correct. That tweet is a Clinton campaign hoax for which their campaign lawyer is undergoing a criminal trial. https://t.co/avtjEdthmA,38747,10274
755,1.52763E+18,2022-05-20 12:37:56+00:00,"@catturd2 They began brewing attacks of all kinds as soon as the Twitter acquisition was announced.

In my 30 year career, including the entire MeToo era, thereâ€™s nothing to report, but, as soon as I say I intend to restore free speech to Twitter &amp; vote Republican, suddenly there is â€¦",108553,20650
758,1.52752E+18,2022-05-20 05:19:22+00:00,"@teslaownersSV @JohnnaCrider1 @TaraBull808 No, it was clear that their only goal was a hit price to interfere with the Twitter acquisition. The story was written before they even talked to me.",14502,1339
766,1.52742E+18,2022-05-19 22:36:49+00:00,"To be clear, Iâ€™m spending &lt;5% (but actually) of my time on the Twitter acquisition. It ainâ€™t rocket science!

Yesterday was Giga Texas, today is Starbase. Tesla is on my mind 24/7.

So may seem like below, but not true. https://t.co/CXfWiLD2f8",256397,18530
772,1.52735E+18,2022-05-19 18:09:23+00:00,RT @Liv_Boeree: Daily reminder that your brain on Twitter is being hijacked by an algorithm designed to do one thing: maximise engagement.â€¦,0,10466
773,1.52735E+18,2022-05-19 17:56:22+00:00,https://t.co/fdy0nedGMs,266353,29168
796,1.52709E+18,2022-05-19 01:05:07+00:00,ðŸ˜› ðŸ¿,352375,22052
797,1.52701E+18,2022-05-18 19:39:47+00:00,@waitbutwhy ðŸ’¯,12365,496
810,1.52684E+18,2022-05-18 08:00:05+00:00,@garyblack00 Or 14 times higher than Twitterâ€™s 5% in my case ðŸ¤¨,12912,930
811,1.52683E+18,2022-05-18 07:58:30+00:00,@garyblack00 So â€¦ [checks calculator] â€¦ that would be like 10 times more than 5%,31113,3144
812,1.52683E+18,2022-05-18 07:43:40+00:00,@garyblack00 Interesting,10804,714
814,1.52682E+18,2022-05-18 07:15:54+00:00,bullsh*t baffles brains,231173,17834
815,1.52682E+18,2022-05-18 06:51:51+00:00,"RT @ICannot_Enough: Fresh @elonmusk interview, courtesy @theallinpod :
https://t.co/WmIbsqxuVY",0,1896
816,1.52681E+18,2022-05-18 06:35:20+00:00,@heydave7 Yes,8637,453
818,1.52672E+18,2022-05-18 00:41:34+00:00,@bennyjohnson Twitter exec trashing free speech &amp; mocking people with Aspergerâ€™s â€¦,128024,23636
819,1.52672E+18,2022-05-18 00:26:37+00:00,@bennyjohnson @Twitter ðŸ˜”,86713,5497
824,1.5266E+18,2022-05-17 16:21:33+00:00,"Twitter claims that &gt;95% of daily active users are real, unique humans. Does anyone have that experience?",109324,14133
829,1.52647E+18,2022-05-17 07:35:28+00:00,@Andst7 @paraga Seems like Twitter should welcome external validation if their claims are true,19248,2177
